iteration,elapsed_time_us
0,268
1,268
2,268
3,267
4,267
5,268
6,268
7,267
8,267
9,268
10,268
11,267
12,267
13,268
14,268
15,267
16,267
17,268
18,268
19,267
20,268
21,268
22,268
23,267
24,268
25,268
26,267
27,267
28,268
29,268
30,267
31,267
32,268
33,268
34,267
35,268
36,268
37,268
38,267
39,267
40,268
41,268
42,267
43,268
44,268
45,267
46,267
47,267
48,268
49,268
50,267
51,268
52,268
53,267
54,267
55,268
56,268
57,267
58,267
59,268
60,268
61,267
62,267
63,268
64,268
65,267
66,267
67,268
68,268
69,267
70,268
71,268
72,267
73,267
74,268
75,268
76,267
77,267
78,268
79,268
80,267
81,267
82,268
83,268
84,267
85,267
86,268
87,268
88,267
89,267
90,268
91,268
92,267
93,267
94,268
95,268
96,267
97,267
98,268
99,268
100,267
101,267
102,268
103,268
104,267
105,268
106,268
107,268
108,267
109,267
110,268
111,267
112,267
113,268
114,268
115,268
116,267
117,268
118,268
119,268
120,267
121,268
122,268
123,267
124,267
125,268
126,268
127,267
128,267
129,268
130,268
131,267
132,267
133,268
134,268
135,267
136,268
137,268
138,268
139,267
140,268
141,268
142,267
143,267
144,268
145,268
146,267
147,267
148,268
149,268
150,267
151,267
152,268
153,268
154,267
155,267
156,268
157,268
158,267
159,267
160,268
161,268
162,267
163,268
164,268
165,268
166,267
167,268
168,268
169,268
170,267
171,268
172,268
173,267
174,267
175,268
176,268
177,267
178,267
179,268
180,268
181,267
182,268
183,268
184,268
185,267
186,267
187,268
188,268
189,267
190,267
191,268
192,268
193,267
194,268
195,268
196,268
197,267
198,268
199,268
